[global batch tokens] : 1,048,576
[world size]           : 8
[grad accum steps]     : 4
[model] loading from /mnt/weka/mmusayelyan/tinyllama_checkpoints/TinyLlama-1.1B-intermediate-step-1431k-3T
[model] total parameters: 1,100,048,384
[optim] decayed tensors    : 156  (1,099,956,224 params)
[optim] non-decayed tensors: 45  (92,160 params)
step    640/8576 | loss 1.8203 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,684
step    650/8576 | loss 1.8042 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,788
step    660/8576 | loss 1.8174 | lr 8.00e-05 | grad_norm 0.35 | tok/s 286,734
step    670/8576 | loss 1.8310 | lr 8.00e-05 | grad_norm 0.36 | tok/s 286,747
step    680/8576 | loss 1.8207 | lr 8.00e-05 | grad_norm 0.37 | tok/s 286,818
step    690/8576 | loss 1.8074 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,809
step    700/8576 | loss 1.8159 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,798
step    710/8576 | loss 1.8127 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,738
step    720/8576 | loss 1.8108 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,766
step    730/8576 | loss 1.8119 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,714
step    740/8576 | loss 1.8102 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,858
step    750/8576 | loss 1.8178 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,825
step    760/8576 | loss 1.7998 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,743
step    770/8576 | loss 1.8182 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,810
step    780/8576 | loss 1.8059 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,602
step    790/8576 | loss 1.8053 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,697
step    800/8576 | loss 1.8055 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,830
step    810/8576 | loss 1.8186 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,803
step    820/8576 | loss 1.8216 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,619
step    830/8576 | loss 1.8033 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,974
step    840/8576 | loss 1.7922 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,869
step    850/8576 | loss 1.8056 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,794
step    860/8576 | loss 1.8143 | lr 8.00e-05 | grad_norm 0.54 | tok/s 286,765
