[global batch tokens] : 1,048,576
[world size]           : 8
[grad accum steps]     : 4
[model] loading from /mnt/weka/mmusayelyan/tinyllama_checkpoints/TinyLlama-1.1B-intermediate-step-1431k-3T
[model] total parameters: 1,100,048,384
[optim] decayed tensors    : 156  (1,099,956,224 params)
[optim] non-decayed tensors: 45  (92,160 params)
step    640/13952 | loss 1.8315 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,128
step    650/13952 | loss 1.8154 | lr 8.00e-05 | grad_norm 0.45 | tok/s 286,237
step    660/13952 | loss 1.8287 | lr 8.00e-05 | grad_norm 0.35 | tok/s 286,072
step    670/13952 | loss 1.8415 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,156
step    680/13952 | loss 1.8318 | lr 8.00e-05 | grad_norm 0.38 | tok/s 286,195
step    690/13952 | loss 1.8174 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,171
step    700/13952 | loss 1.8259 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,138
step    710/13952 | loss 1.8227 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,258
step    720/13952 | loss 1.8205 | lr 8.00e-05 | grad_norm 0.31 | tok/s 285,993
step    730/13952 | loss 1.8214 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,151
step    740/13952 | loss 1.8192 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,139
step    750/13952 | loss 1.8267 | lr 8.00e-05 | grad_norm 0.35 | tok/s 286,201
step    760/13952 | loss 1.8091 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,119
step    770/13952 | loss 1.8274 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,144
step    780/13952 | loss 1.8151 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,133
step    790/13952 | loss 1.8140 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,014
step    800/13952 | loss 1.8138 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,217
step    810/13952 | loss 1.8270 | lr 8.00e-05 | grad_norm 0.35 | tok/s 286,145
step    820/13952 | loss 1.8296 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,130
step    830/13952 | loss 1.8112 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,111
step    840/13952 | loss 1.8001 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,053
step    850/13952 | loss 1.8136 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,049
step    860/13952 | loss 1.8222 | lr 8.00e-05 | grad_norm 0.49 | tok/s 286,089
step    870/13952 | loss 1.8158 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,100
step    880/13952 | loss 1.8158 | lr 8.00e-05 | grad_norm 0.77 | tok/s 286,043
step    890/13952 | loss 1.7967 | lr 8.00e-05 | grad_norm 0.33 | tok/s 285,936
step    900/13952 | loss 1.8049 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,115
step    910/13952 | loss 1.8188 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,141
step    920/13952 | loss 1.8090 | lr 8.00e-05 | grad_norm 0.33 | tok/s 285,991
step    930/13952 | loss 1.8053 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,048
step    940/13952 | loss 1.8070 | lr 8.00e-05 | grad_norm 0.73 | tok/s 286,159
step    950/13952 | loss 1.8136 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,073
step    960/13952 | loss 1.8084 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,031
step    970/13952 | loss 1.8074 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,057
step    980/13952 | loss 1.7998 | lr 8.00e-05 | grad_norm 0.32 | tok/s 285,986
step    990/13952 | loss 1.8069 | lr 8.00e-05 | grad_norm 0.83 | tok/s 286,110
step   1000/13952 | loss 1.7882 | lr 8.00e-05 | grad_norm 0.39 | tok/s 286,201
step   1010/13952 | loss 1.8077 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,208
step   1020/13952 | loss 1.8134 | lr 8.00e-05 | grad_norm 0.55 | tok/s 286,145
step   1030/13952 | loss 1.8033 | lr 8.00e-05 | grad_norm 0.35 | tok/s 286,107
step   1040/13952 | loss 1.8048 | lr 8.00e-05 | grad_norm 0.43 | tok/s 286,157
step   1050/13952 | loss 1.8097 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,006
step   1060/13952 | loss 1.8041 | lr 8.00e-05 | grad_norm 1.02 | tok/s 286,209
step   1070/13952 | loss 1.8227 | lr 8.00e-05 | grad_norm 0.39 | tok/s 286,132
step   1080/13952 | loss 1.8123 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,267
step   1090/13952 | loss 1.8061 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,146
step   1100/13952 | loss 1.8020 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,196
step   1110/13952 | loss 1.8041 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,156
step   1120/13952 | loss 1.8036 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,109
step   1130/13952 | loss 1.8029 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,324
step   1140/13952 | loss 1.8015 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,150
step   1150/13952 | loss 1.8001 | lr 8.00e-05 | grad_norm 0.38 | tok/s 286,174
step   1160/13952 | loss 1.8091 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,165
step   1170/13952 | loss 1.8066 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,105
step   1180/13952 | loss 1.7989 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,129
step   1190/13952 | loss 1.7982 | lr 8.00e-05 | grad_norm 0.30 | tok/s 285,984
step   1200/13952 | loss 1.8009 | lr 8.00e-05 | grad_norm 0.36 | tok/s 286,113
step   1210/13952 | loss 1.8027 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,034
step   1220/13952 | loss 1.8055 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,136
step   1230/13952 | loss 1.8036 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,091
step   1240/13952 | loss 1.7955 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,183
step   1250/13952 | loss 1.8091 | lr 8.00e-05 | grad_norm 0.32 | tok/s 285,955
step   1260/13952 | loss 1.8035 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,158
step   1270/13952 | loss 1.8111 | lr 8.00e-05 | grad_norm 0.33 | tok/s 285,771
step   1280/13952 | loss 1.8036 | lr 8.00e-05 | grad_norm 0.37 | tok/s 285,979
step   1290/13952 | loss 1.8156 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,061
step   1300/13952 | loss 1.7992 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,062
step   1310/13952 | loss 1.7910 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,146
step   1320/13952 | loss 1.7997 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,076
step   1330/13952 | loss 1.8027 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,142
step   1340/13952 | loss 1.8071 | lr 8.00e-05 | grad_norm 0.32 | tok/s 285,964
step   1350/13952 | loss 1.7942 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,233
step   1360/13952 | loss 1.8028 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,157
